         108262 function calls in 0.056 seconds

   Ordered by: cumulative time
   List reduced from 114 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.056    0.056 benchmark_sigma.py:167(<lambda>)
       20    0.002    0.000    0.042    0.002 utils.py:195(edwards_scalar_mult)
        1    0.000    0.000    0.033    0.033 benchmark_sigma.py:50(run_handshake)
    65482    0.031    0.000    0.031    0.000 utils.py:14(field_mul)
     4069    0.007    0.000    0.025    0.000 utils.py:159(edwards_point_double_extended)
        8    0.000    0.000    0.022    0.003 ed25519.py:83(from_signing_key)
        8    0.000    0.000    0.022    0.003 utils.py:46(compute_public_key)
        4    0.000    0.000    0.022    0.006 ed25519.py:53(sign)
        4    0.000    0.000    0.022    0.006 ed25519.py:113(sign)
        1    0.000    0.000    0.019    0.019 benchmark_sigma.py:37(setup_sigma_handshake)
     2069    0.004    0.000    0.015    0.000 utils.py:122(edwards_point_add_extended)
        1    0.000    0.000    0.014    0.014 sigma.py:315(process_response_message)
        2    0.000    0.000    0.013    0.006 ed25519.py:89(verify)
        2    0.000    0.000    0.013    0.006 ed25519.py:148(verify)
        2    0.000    0.000    0.011    0.006 certificates.py:83(issue_certificate)


